Id	CharacterId	SkillIds[1]	SkillIds[2]	SkillIds[3]	SkillIds[4]	SkillIds[5]	SkillIds[6]	SkillIds[7]	SkillIds[8]	AttrTypes[1]	AttrTypes[2]	AttrTypes[3]	AttrTypes[4]	AttrTypes[5]	ShowSkills[1]	ShowSkills[2]	ShowSkills[3]	AttrPacks[1]	AttrPacks[2]	AttrPacks[3]	AttrPacks[4]	AttrPacks[5]	AttrPacks[6]	AttrPacks[7]	AttrPacks[8]	AttrPackNums[1]	AttrPackNums[2]	AttrPackNums[3]	AttrPackNums[4]	AttrPackNums[5]	AttrPackNums[6]	AttrPackNums[7]	AttrPackNums[8]	DlcAttrGroup	BuildTags[1]	BuildTags[2]	SaveTags[1]	SupportDesc	Score
332	12	82251013	82251023	82251033	82251043	82254013				435	16000	80	410	410				1	2							1	2							1025					0
340	12	82251011	82251021	82251031	82251041	82254011				185	2660	80	230	230				1								1								1025					0
341	12	82251012	82251022	82251032	82251042	82254012				266	6500	80	340	340				1	2							1	1							1025					0
342	12	82251013	82251023	82251033	82251043	82254013				478	16500	80	460	460				1	2							1	2							1025					0
350	12	82251011	82251021	82251031	82251041	82254011				203	2660	80	230	230				1								1								1025					0
351	12	82251012	82251022	82251032	82251042	82254012				292	6500	80	340	340				1	2							1	1							1025					0
352	12	82251013	82251023	82251033	82251043	82254013				525	16500	80	460	460				1	2							1	2							1025					0
500	10	82261011	82261021	82261031	82261041	82264011				87	900	40	105	105	82264011	82261011		1								1								1025					0
501	10	82261011	82261021	82261031	82261041	82264011				87	1000	40	105	105	82264011	82261011		1								1								1025					0
1000	100	82251013	82251023	82251033	82251043	82254013				120	1530	80	160	160				1								1								1025					0
2003	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		70	2550	100	230	230	10253031	10254041	10252121	1								1								1025					0
2004	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		94	5100	100	280	280	10253031	10254041	10252121	1								1								1025					0
2005	13	82271013	82271023	82271033	82271043	82274013				196	12750	100	380	380	82274013	82271013		1								1								1025					0
2006	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		88	3315	100	230	230	10253031	10254041	10252121	1								1								1025					0
2007	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		118	6630	100	280	280	10253031	10254041	10252121	1								1								1025					0
2008	13	82271013	82271023	82271033	82271043	82274013				245	16575	100	380	380	82274013	82271013		1								1								1025					0
2023	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		77	3000	100	230	230	10253031	10254041	10252121	1	2							1	2							1025					0
2024	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		103	6000	100	280	280	10253031	10254041	10252121	1	2							1	2							1025					0
2025	13	82271013	82271023	82271033	82271043	82274013				216	15000	100	380	380	82274013	82271013		1	2							1	2							1025					0
2026	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		96	3900	100	230	230	10253031	10254041	10252121	1	2							1	2							1025					0
2027	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		129	7800	100	280	280	10253031	10254041	10252121	1	2							1	2							1025					0
2028	13	82271013	82271023	82271033	82271043	82274013				269	19500	100	380	380	82274013	82271013		1	2							1	2							1025					0
2033	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		97	3600	100	250	250	10253031	10254041	10252121	1	2							1	2							1025					0
2034	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		130	8400	100	320	320	10253031	10254041	10252121	1	2							1	2							1025					0
2035	13	82271013	82271023	82271033	82271043	82274013				271	24000	100	440	440	82274013	82271013		1	2							1	2							1025					0
2036	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		121	4200	100	250	250	10253031	10254041	10252121	1	2							1	2							1025					0
2037	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		163	12600	100	320	320	10253031	10254041	10252121	1	2							1	2							1025					0
2038	13	82271013	82271023	82271033	82271043	82274013				338	28800	100	440	440	82274013	82271013		1	2							1	2							1025					0
2043	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		133	4100	100	300	300	10253031	10254041	10252121	1	2							1	2							1025					0
2044	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		178	8900	100	370	370	10253031	10254041	10252121	1	2							1	2							1025					0
2045	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		372	28800	100	490	490	10253031	10254041	10252121	1	2							1	2							1025					0
2046	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		166	4700	100	300	300	10253031	10254041	10252121	1	2							1	2							1025					0
2047	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		223	13100	100	370	370	10253031	10254041	10252121	1	2							1	2							1025					0
2048	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		464	32000	100	530	530	10253031	10254041	10252121	1	2							1	2							1025					0
2049	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		409	28800	100	530	530	10253031	10254041	10252121	1	2							1	2							1025					0
2050	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		450	31680	100	550	550	10253031	10254041	10252121	1	2							1	2							1025					0
2051	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		510	31680	100	570	570	10253031	10254041	10252121	1	2							1	2							1025					0
2052	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		561	34848	100	590	590	10253031	10254041	10252121	1	2							1	2							1025					0
2053	10	82261011	82261021	82261031	82261041	82264011				120	1530	80	160	160	82261011	82264011		1								1								1025					0
2054	10	82261011	82261021	82261031	82261041	82264011				180	2500	80	200	200	82261011	82264011		1								1								1025					0
2055	10	82261011	82261021	82261031	82261041	82264011				200	2800	80	240	240	82261011	82264011		1								1								1025					0
2056	13	82271011	82271021	82271031	82271041	82274011				180	2700	80	240	240	82274011	82271011		1								1								1025					0
2057	13	82271013	82271023	82271033	82271043	82274013				600	10000	80	500	500	82274011	82271011		1								1								1025					0
2058	10	82261011	82261021	82261031	82261041	82264011				120	1530	80	160	160	82261011	82264011		1								1								1025					0
2059	10	82261011	82261021	82261031	82261041	82264011				130	1700	80	180	180	82261011	82264011		1								1								1025					0
2060	13	82271011	82271021	82271031	82271041	82274011				100	500	80	100	100	82274011	82271011		1								1								1025					0
2070	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		146	4100	100	300	300	10253031	10254041	10252121	1	2							1	2							1025					0
2071	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		195	8900	100	370	370	10253031	10254041	10252121	1	2							1	2							1025					0
2072	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		409	28800	100	490	490	10253031	10254041	10252121	1	2							1	2							1025					0
2073	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		449	28800	100	530	530	10253031	10254041	10252121	1	2							1	2							1025					0
2074	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		495	31680	100	550	550	10253031	10254041	10252121	1	2							1	2							1025					0
2075	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		519	31680	100	570	570	10253031	10254041	10252121	1	2							1	2							1025					0
2076	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		182	4700	100	300	300	10253031	10254041	10252121	1	2							1	2							1025					0
2077	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		245	13100	100	370	370	10253031	10254041	10252121	1	2							1	2							1025					0
2078	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		510	32000	100	530	530	10253031	10254041	10252121	1	2							1	2							1025					0
2079	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		561	31680	100	570	570	10253031	10254041	10252121	1	2							1	2							1025					0
2080	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		617	34848	100	590	590	10253031	10254041	10252121	1	2							1	2							1025					0
2081	11	10253031	10254041	10252121	10255121	10255131	10255141	10255151		647	34848	100	610	610	10253031	10254041	10252121	1	2							1	2							1025					0
10000	2	10261091	10261061	10261023	10263011	10262091	10261042	10262031	10262021	817	19018	112	637	505				1025205	1025211	1025213	1025223	1025405	1025409	1025411	1025413	1	1	1	1	1	1	1	1	1025	23	20			0
10001	2	10261061	10261042	10261012	10262041	10263011	10261092	10262121	10262021	491	14543	104	625	418				1025205	1025215	1025217						1	1	1						1025	23	20			0
10002	2	10261073	10261022	10261042	10263011	10262111	10262102	10261051	10262041	451	12292	101	482	457				1025205	1025207	1025211	1025223	1025409				1	1	1	1	1				1025	23	20			0
10003	2	10265051	10261042	10261081	10261022	10263011	10262122	10262042	10262021	505	9152	138	487	492				1025201	1025213	1025219	1025223	1025411				1	1	1	1	1				1025	23	20			0
10004	2	10261031	10261062	10261041	10261091	10263011	10262121	10262071		444	13574	100	362	344				1025201	1025207	1025217	1025221	1025227	1025413			1	1	1	1	1	1			1025	23	18			0
10005	2	10265012	10265052	10265021	10265101	10263021	10262062	10262132	10262121	523	9173	122	512	536				1025205	1025215	1025217	1025223	1025227	1025409			1	1	1	1	1	1			1025	23	23			0
10006	2	10265012	10265082	10265071	10262021	10261032	10262042	10263021	10262092	451	9189	125	599	599				1025211	1025213							1	1							1025	23	20			0
10007	2	10265101	10261032	10261011	10262021	10261052	10263021	10262123	10262012	519	10674	103	545	545				1025201	1025215	1025227	1025405					1	1	1	1					1025	23	14			0
10008	2	10262011	10261052	10261012	10261102	10263021	10262071	10261062	10262092	639	20570	100	631	605				1025201	1025213	1025409	1025413					1	1	1	1					1025	23	14			0
10009	2	10261052	10261111	10263021	10261071	10261093	10262041	10262122	10262092	686	16523	100	619	636				1025219	1025223	1025227	1025407	1025411				1	1	1	1	1				1025	23	20			0
10010	2	10261011	10261061	10261041	10264011	10261021	10262133	10262032	10262021	526	13234	127	240	236				1025205	1025223	1025225	1025401	1025405	1025411			1	1	1	1	1	1			1025	24	20			0
10011	2	10265052	10261022	10261083	10261071	10264011	10262062	10262021	10262041	537	14343	100	636	523				1025217	1025411	1025413						1	1	1						1025	24	20			0
10012	2	10261062	10262092	10261012	10264011	10261072	10262082	10262031	10261022	522	9272	106	627	571				1025207	1025209	1025401						1	1	1						1025	24	20			0
10013	2	10261063	10261032	10261071	10262032	10264011	10261082	10262102	10262082	474	12772	113	303	322				1025215	1025223	1025403	1025407					1	1	1	1					1025	24	20			0
10014	2	10261011	10261062	10262031	10264011	10262041	10261052	10265061	10262021	583	18596	100	655	551				1025207	1025209	1025211	1025217	1025221	1025227	1025401	1025407	1	1	1	1	1	1	1	1	1025	24	20			0
10015	2	10265082	10261032	10265011	10264021	10261061	10262071	10262121	10262051	577	15941	105	580	603				1025209	1025221							1	1							1025	24	18			0
10016	2	10261042	10261062	10261011	10264021	10261112	10262061			735	14772	100	611	642				1025203	1025207	1025211	1025217					1	1	1	1					1025	24	20			0
10017	2	10265082	10265041	10265021	10265111	10264021	10262072	10262121	10262051	510	19747	129	384	415				1025211	1025219	1025221	1025407					1	1	1	1					1025	24	18			0
10018	2	10261033	10261052	10261071	10261043	10264021	10262072	10262052	10262081	534	9823	140	437	466				1025203	1025405	1025407						1	1	1						1025	24	18			0
10019	2	10265061	10261052	10261062	10261072	10262092	10264021	10262111	10262022	450	14215	110	451	448				1025207	1025227	1025407	1025409					1	1	1	1					1025	24	20			0
10020	3	10251123	10251052	10251033	10251012	10252021	10253011	10252032	10252091	432	13125	140	254	267				1025207	1025221	1025227	1025305	1025313				1	1	1	1	1				1025	23	13			0
10021	3	10251012	10251122	10251092	10253011	10251061	10252111	10252081	10252041	551	12112	100	497	584				1025205	1025209	1025219	1025309	1025313				1	1	1	1	1				1025	23	16			0
10022	3	10255052	10253011	10251122	10251013	10252111	10251033	10252031	10252012	462	8515	100	614	443				1025201	1025217	1025313						1	1	1						1025	23	13			0
10023	3	10255052	10251032	10255042	10251022	10253011	10252091	10252031	10252011	507	9086	107	595	641				1025207	1025217	1025225	1025303	1025309				1	1	1	1	1				1025	23	13			0
10024	3	10252022	10251021	10252101	10253011	10251032	10251101	10251011	10252091	538	9544	130	472	488				1025213	1025217	1025309	1025311					1	1	1	1					1025	23	16			0
10025	3	10251122	10253021	10252112	10251022	10251031	10252121	10252131	10251112	428	11683	104	471	555				1025215	1025221	1025223	1025309					1	1	1	1					1025	23	16			0
10026	3	10251093	10251032	10252092	10251121	10253021	10252052	10252112	10251063	450	11467	100	571	259				1025205	1025215	1025217	1025313					1	1	1	1					1025	23	16			0
10027	3	10251121	10251052	10253021	10251063	10251032	10252102	10252021	10252082	456	12497	100	582	507				1025227	1025313							1	1							1025	23	16			0
10028	3	10251022	10251092	10251033	10251052	10252112	10252022	10253021	10252072	444	12190	100	566	373				1025203	1025205	1025217	1025303	1025309				1	1	1	1	1				1025	23	16			0
10029	3	10251031	10252021	10251061	10251102	10253021	10252111	10251121	10252081	429	13920	124	246	276				1025215	1025219	1025221	1025307					1	1	1	1					1025	23	16			0
10030	3	10251041	10251021	10255052	10251051	10254011	10252071	10252012	10252031	531	9538	105	468	394				1025207	1025219	1025225	1025311					1	1	1	1					1025	24	12			0
10031	3	10251042	10251051	10251032	10251063	10254011	10252061	10252021	10252072	555	12804	117	540	479				1025219	1025221							1	1							1025	24	12			0
10032	3	10255052	10251032	10251013	10254011	10252071	10251052	10252063		435	9754	124	626	630				1025213	1025223	1025309						1	1	1						1025	24	12			0
10033	3	10252032	10252061	10251011	10254011	10251021	10251042	10251053	10252071	469	11805	100	625	421				1025209	1025217	1025301	1025303					1	1	1	1					1025	24	12			0
10034	3	10255052	10252032	10252011	10251022	10251043	10254011	10251031		533	11133	105	522	276				1025205	1025215	1025225	1025311	1025313				1	1	1	1	1				1025	24	12			0
10035	3	10251021	10251012	10251122	10251082	10254021	10252031	10252011	10252091	507	12498	117	327	336				1025201	1025219	1025223	1025227					1	1	1	1					1025	24	13			0
10036	3	10251083	10252012	10251012	10251102	10254021	10252032	10251072	10252061	494	9715	103	482	500				1025313								1								1025	24	13			0
10037	3	10255012	10251021	10251061	10251031	10254021	10252121	10252061	10252101	490	10692	100	438	426				1025201	1025203	1025209	1025211	1025215				1	1	1	1	1				1025	24	16			0
10038	3	10255052	10255011	10255101	10255042	10254021	10252011	10252072	10252051	417	12645	129	368	373				1025215	1025217							1	1							1025	24	12			0
10039	3	10255091	10255071	10255102	10254021	10251071	10252041	10252111		445	9520	131	610	584				1025203	1025211	1025307						1	1	1						1025	24	13			0
10040	2	10261102	10261112	10261043	10261032	10264021	10262022	10262071	10262081	402	13097	135	283	346				1025201	1025211	1025215	1025219	1025225	1025405			1	1	1	1	1	1			1025	24	18			0
10041	2	10261022	10261073	10261082	10262061	10263011	10261062	10262031	10262042	577	16272	141	677	477				1025411	1025413							1	1							1025	23	20			0
10042	2	10261103	10261112	10261032	10265062	10264021	10262062	10262122	10262081	611	20476	142	487	607				1025201	1025209	1025211	1025217	1025221				1	1	1	1	1				1025	24	18			0
10043	2	10261011	10261033	10263011	10261042	10262072	10262011	10261052	10262021	497	10828	106	479	513				1025209	1025215	1025407						1	1	1						1025	23	14			0
10044	2	10262082	10265092	10261092	10264021	10262101	10261102	10261123	10262131	510	10572	113	477	453				1025205	1025211	1025213	1025219	1025407				1	1	1	1	1				1025	24	25			0
10045	3	10251011	10251052	10255051	10254011	10251041	10252071	10252032	10252012	507	13006	148	405	408				1025213	1025219	1025225	1025303					1	1	1	1					1025	24	12			0
10046	3	10255053	10251052	10251032	10253021	10251043	10252072	10252063	10252021	432	12847	147	321	391				1025205	1025217	1025305	1025307	1025311				1	1	1	1	1				1025	23	12			0
10047	3	10251092	10251051	10251111	10255111	10254011	10252091	10252111		631	11404	142	517	485				1025201	1025203	1025205	1025221	1025227	1025305	1025311		1	1	1	1	1	1	1		1025	24	16			0
10048	3	10251062	10251032	10251042	10251053	10252022	10254011	10252103	10252081	454	12409	141	512	374				1025205	1025213	1025215	1025223					1	1	1	1					1025	24	16			0
10049	3	10255052	10255041	10255031	10255091	10253011	10252101	10252081		580	11977	152	556	322				1025205	1025211							1	1							1025	23	13			0
10050	2	10262022	10263011	10262051	10262061	10261052	10261082	10261063	10261023	473	13122	125	248	217				1025201	1025205	1025209	1025213	1025409				1	1	1	1	1				1025	23	20			0
10051	2	10261122	10261011	10261032	10261042	10263021	10262011	10262082	10262042	540	9641	134	457	503				1025213	1025219	1025401						1	1	1						1025	23	14			0
10052	2	10261061	10262062	10263011	10261031	10261102	10262082	10261011	10262021	425	10196	106	586	611				1025203								1								1025	23	14			0
10053	2	10265101	10265062	10265022	10265041	10263021	10262131	10262071		572	15850	100	520	456				1025225								1								1025	23	18			0
10054	2	10265042	10265071	10265052	10265112	10263021	10262032	10262062	10262122	459	8605	100	640	535				1025409								1								1025	23	20			0
10055	3	10255082	10255092	10255031	10255041	10253021	10252092	10252111	10252071	612	12523	104	614	504				1025203	1025207	1025305	1025307					1	1	1	1					1025	23	13			0
10056	3	10251062	10251032	10251011	10253011	10251022	10252102	10252061	10252031	371	9272	100	559	475				1025201	1025301	1025307						1	1	1						1025	23	12			0
10057	3	10251101	10251063	10251093	10251033	10253021	10252053	10252121	10252091	445	9636	134	575	523				1025209	1025221	1025307						1	1	1						1025	23	16			0
10058	3	10255052	10251012	10253011	10251041	10252071	10251032	10252062	10252011	609	11260	100	625	465				1025207	1025209	1025211	1025303	1025311				1	1	1	1	1				1025	23	12			0
10059	3	10252122	10251032	10251022	10251013	10253011	10251052	10252032	10252012	424	11885	100	547	409				1025309								1								1025	23	12			0
10100	2	10261013	10262122	10261063	10262022	10263011	10261032	10261053	10262092	482	14905	125	563	546				1025207	1025209	1025213	1025221					1	1	1	1					1025	23	14			0
10101	2	10261012	10261063	10261022	10261072	10263011	10262011	10262102	10262091	587	16146	113	451	510				1025203	1025209	1025217	1025227	1025409				1	1	1	1	1				1025	23	20			0
10102	2	10261052	10261022	10262032	10263011	10262011	10261042	10261092	10262122	578	15777	100	476	454				1025211	1025215	1025225	1025407	1025409				1	1	1	1	1				1025	23	20			0
10103	2	10261072	10261021	10262031	10262062	10261042	10262042	10263011	10261082	543	17070	127	454	494				1025205	1025225	1025227	1025411	1025413				1	1	1	1	1				1025	23	20			0
10104	2	10262062	10261062	10261083	10261021	10263011	10262091	10262042	10261072	587	18358	100	587	325				1025201	1025207							1	1							1025	23	20			0
10105	2	10261062	10261022	10261082	10261072	10262051	10263021	10262091	10262071	459	17807	112	450	365				1025209	1025213	1025217	1025219	1025405	1025407	1025413		1	1	1	1	1	1	1		1025	23	20			0
10106	2	10261012	10261053	10261041	10263021	10262122	10261061	10262052	10262021	566	15829	124	543	464				1025201	1025205	1025401	1025403	1025405	1025407			1	1	1	1	1	1			1025	23	14			0
10107	2	10261012	10261063	10262062	10261071	10263021	10261042	10262082	10262091	526	15821	104	393	450				1025201	1025205	1025213	1025221	1025225				1	1	1	1	1				1025	23	20			0
10108	2	10261052	10261032	10262111	10263021	10262082	10261043	10265061	10262122	663	18687	109	763	586				1025205	1025211	1025225	1025407					1	1	1	1					1025	23	18			0
10109	2	10261071	10261032	10263021	10262022	10261011	10261052	10262131	10262092	625	16889	100	585	478				1025205	1025207	1025227	1025409	1025411				1	1	1	1	1				1025	23	14			0
10110	2	10264011	10261053	10265052	10261043	10262022	10261022	10262062	10262101	560	13004	144	452	563				1025209	1025213	1025215	1025221					1	1	1	1					1025	24	20			0
10111	2	10261083	10261053	10261022	10261072	10262032	10264011	10262081	10262113	708	16527	100	514	598				1025215	1025217							1	1							1025	24	20			0
10112	2	10261023	10261062	10261042	10261082	10264011	10262062	10262111	10262042	519	12047	139	688	637				1025207	1025211	1025409	1025411					1	1	1	1					1025	24	20			0
10113	2	10261032	10261111	10261042	10261052	10262011	10264011	10262102	10262082	446	18345	110	483	424				1025203	1025205	1025215	1025225	1025227	1025401			1	1	1	1	1	1			1025	24	18			0
10114	2	10261052	10265062	10261072	10261043	10264011	10262043	10262072		579	17225	110	558	457				1025201	1025209	1025211	1025407	1025409				1	1	1	1	1				1025	24	20			0
10115	2	10265013	10262052	10262072	10265082	10264021	10261033	10262122	10261053	599	13494	133	497	465				1025211	1025213	1025215	1025405	1025407				1	1	1	1	1				1025	24	18			0
10116	2	10261022	10261103	10261043	10261053	10262092	10262042	10264021		583	20012	146	285	510				1025205	1025217	1025225	1025407	1025411	1025413			1	1	1	1	1	1			1025	24	20			0
10117	2	10261111	10261023	10261082	10261072	10264021	10262062	10262122	10262082	592	13359	138	400	464				1025201	1025225	1025227	1025405	1025411				1	1	1	1	1				1025	24	18			0
10118	2	10262122	10265063	10262132	10261033	10261103	10261112	10264021	10262082	486	13987	107	761	669				1025211	1025217	1025219	1025407					1	1	1	1					1025	24	18			0
10119	2	10261012	10261023	10261071	10261053	10264021	10262112	10262072	10262021	561	14612	131	422	427				1025203	1025213	1025219	1025407	1025409	1025413			1	1	1	1	1	1			1025	24	14			0
10120	3	10255053	10251033	10251123	10251053	10253011	10252061	10252012	10252031	479	6805	100	489	446				1025203	1025211	1025213	1025215	1025219	1025223	1025301	1025305	1	1	1	1	1	1	1	1	1025	23	12			0
10121	3	10251022	10251123	10251013	10253011	10252011	10251042	10252033	10252091	492	14952	114	815	739				1025213	1025311							1	1							1025	23	13			0
10122	3	10253011	10252102	10251121	10251032	10251041	10251102	10252132	10252061	491	16243	128	658	575				1025203	1025205	1025211	1025227	1025303				1	1	1	1	1				1025	23	16			0
10123	3	10251061	10251122	10251082	10252012	10251011	10253011	10252073	10252063	371	10652	105	529	496				1025213	1025215	1025223	1025301	1025303	1025311			1	1	1	1	1	1			1025	23	13			0
10124	3	10251052	10251022	10251012	10251042	10253011	10252062	10252011	10252111	604	10782	100	613	598				1025205	1025207	1025217	1025223	1025225				1	1	1	1	1				1025	23	12			0
10125	3	10251043	10251052	10251012	10251033	10253021	10252062			556	14135	116	455	584				1025209	1025211	1025213	1025215	1025221	1025223	1025307	1025309	1	1	1	1	1	1	1	1	1025	23	12			0
10126	3	10255041	10251011	10251032	10255051	10253021	10252102	10252022	10252061	612	13372	100	678	498				1025201	1025219	1025227	1025301	1025303	1025305			1	1	1	1	1	1			1025	23	12			0
10127	3	10251053	10251023	10251032	10255012	10253021	10252051	10252081	10252012	571	16238	105	525	530				1025209	1025213	1025303						1	1	1						1025	23	16			0
10128	3	10251042	10251122	10251093	10251032	10253021	10252072	10252092	10252112	560	17364	100	297	327				1025223	1025303	1025309						1	1	1						1025	23	16			0
10129	3	10251021	10252022	10251012	10253021	10251052	10252073	10251031	10252012	522	14948	104	609	607				1025203	1025209	1025217	1025303	1025311	1025313			1	1	1	1	1	1			1025	23	12			0
10130	3	10251052	10255051	10251042	10255011	10254011	10252051	10252062	10252101	505	12250	105	456	603				1025201	1025207	1025221	1025227	1025303	1025307	1025313		1	1	1	1	1	1	1		1025	24	12			0
10131	3	10251052	10251041	10252032	10251111	10254011	10252021	10252012	10251021	568	15097	149	363	568				1025301	1025303	1025311						1	1	1						1025	24	12			0
10132	3	10251011	10251033	10251052	10251042	10252031	10254011	10252011	10252073	517	12342	145	593	584				1025219	1025223	1025309	1025311					1	1	1	1					1025	24	12			0
10133	3	10251053	10251023	10252061	10254011	10252011	10252021	10251013	10251043	511	13128	101	668	707				1025217	1025223	1025301	1025303	1025309				1	1	1	1	1				1025	24	12			0
10134	3	10251062	10251033	10251043	10251073	10254011	10252022	10252061	10252102	521	12400	112	512	508				1025207	1025221	1025301	1025309	1025313				1	1	1	1	1				1025	24	12			0
10135	3	10251081	10251013	10251053	10251033	10254021	10252021	10252032	10252062	546	16702	144	363	374				1025201	1025209	1025305	1025311					1	1	1	1					1025	24	12			0
10136	3	10251023	10251081	10251121	10254021	10251072	10252012	10252062		601	11303	108	561	560				1025211	1025221	1025227	1025301	1025305	1025313			1	1	1	1	1	1			1025	24	13			0
10137	3	10251051	10251042	10251022	10251012	10254021	10252042	10252111	10252061	469	14547	122	515	565				1025201	1025211	1025213	1025219	1025303				1	1	1	1	1				1025	24	12			0
10138	3	10251033	10251052	10251012	10251042	10254021	10252032	10252072	10252063	572	17770	135	200	200				1025203	1025211	1025305	1025311					1	1	1	1					1025	24	12			0
10139	3	10254021	10251013	10251021	10251042	10252042	10251051	10252071		657	15110	109	471	567				1025215	1025223	1025305	1025309					1	1	1	1					1025	24	12			0
10140	2	10261051	10261072	10263021	10262051	10262122	10261062	10262111	10261041	541	13254	100	709	655				1025211	1025215	1025221	1025227	1025401	1025405	1025409	1025413	1	1	1	1	1	1	1	1	1025	23	14			0
10141	2	10261022	10261012	10261062	10261091	10263011	10262042	10262112	10262062	578	15277	106	567	646				1025209	1025227							1	1							1025	23	20			0
10142	2	10261082	10262062	10261072	10261042	10263011	10262052	10261022	10262123	481	14797	143	382	189				1025211	1025223	1025227	1025411	1025413				1	1	1	1	1				1025	23	20			0
