Id	NeedQualitys[1]	NeedQualitys[2]	NeedQualitys[3]	NeedQualitys[4]	NeedQualitys[5]	QualityWeights[1]	QualityWeights[2]	QualityWeights[3]	QualityWeights[4]	QualityWeights[5]	AppointAttrPackId	AppointAttrPackWeight	NeedTags[1]	NeedTags[2]	TagWeights[1]	TagWeights[2]	SameTagWeight	MaxSameTagWeight	Name	Desc
2002	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2002	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2003	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2003	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2004	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2004	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2005	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2005	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2006	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2006	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2007	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2007	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2008	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2008	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2009	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2009	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2010	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2010	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2011	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2011	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2012	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2012	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
