Id	Name	Quality	GoodsNums[1]	GoodsNums[2]	AppointGoodsTypes[1]	AppointGoodsTypes[2]	RewardTypes[1]	RewardTypes[2]	RewardIds[1]	RewardIds[2]	IsOutPool	Desc	ConditionId	CharacterId
1900	Ashen Wanderer	1	60	60	1	2	3		20		1		0	0
1901	Decaying Cradle	1	60	60	1	3	3		20		1		0	0
1902	Nameless Celebration	1	60	60	2	3	3		20		1		0	0
1903	Forbidden Movement	1	60	60	1	4	3		30		1		0	0
1904	Pallid Mask	1	60	60	2	4	3		30		1		0	0
1905	Doomsday Path	1	60	60	3	4	3		30		1		0	0
2000	Umbral Scar	1	60	60	1	2	3		20		1		0	0
2001	Abyssal Murmurs	1	60	60	1	3	3		20		1		0	0
2002	Bog Cryptids	1	60	60	2	3	3		20		1		0	0
2003	Fractured Effigy	2	60	60	1	4	3		30		1		0	0
2004	Barrow Echoes	2	60	60	2	4	3		30		1		0	0
2005	Portal of Slumber	2	60	60	3	4	3		30		1		0	0
2006	Delirious Tides	3	60	60	1	4	3		30		1		0	0
2007	Light-Draining Corridor	3	60	60	2	4	3		30		1		0	0
2008	Faded Moon	3	60	60	3	4	3		30		1		0	0
2100	Eyeless Portrait	1	60	60	1	2	3		20		1		0	0
2101	Twisted Candlelight	1	60	60	1	3	3		20		1		0	0
2102	Rusted Key	1	60	60	2	3	3		20		1		0	0
2103	Reversed Hourglass	2	60	60	1	4	3		30		1		0	0
2104	Bone-Eroding Toll	2	60	60	2	4	3		30		1		0	0
2105	Melting Wax Figure	2	60	60	3	4	3		30		1		0	0
2200	Whispers in the Wall	1	60	60	1	2	3		20		1		0	0
2201	Faceless Feast	1	60	60	1	3	3		20		1		0	0
2202	Damp Diary	1	60	60	2	3	3		20		1		0	0
2203	Wax Seal	2	60	60	1	4	3		30		1		0	0
2204	Broken Strings Elegy	2	60	60	2	4	3		30		1		0	0
2205	Silent Labyrinth	2	60	60	3	4	3		30		1		0	0
