Id	NeedLevels[1]	NeedLevels[2]	LevelWeights[1]	LevelWeights[2]	NeedQualitys[1]	NeedQualitys[2]	NeedQualitys[3]	NeedQualitys[4]	NeedQualitys[5]	QualityWeights[1]	QualityWeights[2]	QualityWeights[3]	QualityWeights[4]	QualityWeights[5]	AppointSkillId[1]	AppointSkillId[2]	NeedTags[1]	NeedTags[2]	TagWeights[1]	TagWeights[2]	SameTagWeight	MaxSameTagWeight	Name	Desc
302	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 302	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
303	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 303	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
310	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 310	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
401	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 401	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
600	1		100		1					100					0		0		0		0	0	AscNet policy skill pool 600	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 600 (White).
601	1		100		2					100					0		0		0		0	0	AscNet policy skill pool 601	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 601 (Green).
602	1		100		4	5				80	20				0		0		0		0	0	AscNet policy skill pool 602	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 602 (Gold).
700	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 700	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
702	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 702	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
704	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 704	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
706	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 706	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
707	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 707	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
