Id	Name	Desc	Icon	BuffTriggerType	BuffEffectType	BuffEffectParams[1]	BuffEffectParams[2]	BuffEffectParams[3]	BuffEffectParams[4]	DurationType	DeathType	DebuffType	Limit	BuffTriggerParams[1]	BuffTriggerParams[2]	BuffTriggerParams[3]	IsCount	DescParams[1]	DescParams[2]	IsNotShow	DurationValues[1]	MaxNum	Quailty	Priority	CanStack
1001	Whispers I	Reduces <Icon=IconAttr02|45|45|0.5/>HP by 15% upon entering battle.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2601.png	7	8	1025195				8	1	2	1									0	0	0	0
1002	Whispers II	Reduces <Icon=IconAttr02|45|45|0.5/>HP by 30% upon entering battle.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2602.png	7	8	1025196				8	1	2	1									0	0	0	0
1003	Whispers III	Reduces <Icon=IconAttr02|45|45|0.5/>HP by 45% upon entering battle.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2603.png	7	8	1025197				8	1	2	1									0	0	0	0
1004	Whispers IV	Reduces <Icon=IconAttr02|45|45|0.5/>HP by 60% upon entering battle.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2604.png	7	8	1025198				8	1	2	1									0	0	0	0
1005	Whispers V	Reduces <Icon=IconAttr02|45|45|0.5/>HP by 75% upon entering battle.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2605.png	7	8	1025199				8	1	2	1									0	0	0	0
1006	Maddening Whispers	Reduces Vitality by 1. Increases <Icon=IconSan|45|45|0.5/>Sanity by 70.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon26.png	7	6	-1				8	1	2	1							1		0	0	0	0
1007	Maddening Whispers	Reduces Vitality by 1. Increases <Icon=IconSan|45|45|0.5/>Sanity by 70.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon26.png	7	2	1	70			8	1	2	1							1		0	0	0	0
1008	Sanity Normal	Everything looks perfectly normal, doesn't it?	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon25.png	7	2	1	0			8	1	2	1							1		0	0	0	0
1010				7	11	1				8	1	2	1							1		0	0	0	0
1011				7	11	2				8	1	2	1							1		0	0	0	0
1012				7	11	3				8	1	2	1							1		0	0	0	0
2000			Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	7	1	2	2	24	1	2	1	1	3	1					1		0	0	0	0
3000	Corrupt I	Loses an additional 2 <Icon=IconSan|45|45|0.5/>Sanity whenever Sanity decreases.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2801.png	3	2	1	-2			8	1	2	1	4	0	2	1					0	0	0	0
3001	Corrupt II	Loses an additional 4 <Icon=IconSan|45|45|0.5/>Sanity whenever Sanity decreases.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon2802.png	3	2	1	-4			8	1	2	1	4	0	2	1					0	0	0	0
3500	Echo: Material	Materials obtained increased by 20%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon27.png	7	4	3600	3601	3602	3603	8	1	1	1									0	0	0	0
3501	Echo: Sealed Omen I	<Icon=IconGood01|45|45|0.5/>Sealed Omens obtained on this floor increased by 50%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon09.png	3	9	500				6	1	1	1	2	1	1	1				1	0	0	0	0
3502	Echo: Abyssal Secret I	<Icon=IconGood02|45|45|0.5/>Abyssal Secrets obtained on this floor increased by 50%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon11.png	3	9	500				6	1	1	1	2	2	1	1				1	0	0	0	0
3503	Echo: Scarlet Vision I	<Icon=IconGood03|45|45|0.5/>Scarlet Visions obtained on this floor increased by 50%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon13.png	3	9	500				6	1	1	1	2	3	1	1				1	0	0	0	0
3504	Echo: Spectral Artifact I	<Icon=IconGood04|45|45|0.5/>Spectral Artifacts obtained on this floor increased by 50%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon15.png	3	9	500				6	1	1	1	2	4	1	1				1	0	0	0	0
3505	Echo: Sealed Omen II	<Icon=IconGood01|45|45|0.5/>Sealed Omens obtained on this floor increased by 80%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon09.png	3	9	800				6	1	1	1	2	1	1	1				1	0	0	0	0
3506	Echo: Abyssal Secret II	<Icon=IconGood02|45|45|0.5/>Abyssal Secrets obtained on this floor increased by 80%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon11.png	3	9	800				6	1	1	1	2	2	1	1				1	0	0	0	0
3507	Echo: Scarlet Vision II	<Icon=IconGood03|45|45|0.5/>Scarlet Visions obtained on this floor increased by 80%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon13.png	3	9	800				6	1	1	1	2	3	1	1				1	0	0	0	0
3508	Echo: Spectral Artifact II	<Icon=IconGood04|45|45|0.5/>Spectral Artifacts obtained on this floor increased by 80%.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon15.png	3	9	800				6	1	1	1	2	4	1	1				1	0	0	0	0
3600				3	9	200				8	1	1	1	2	1	1				1		0	0	0	0
3601				3	9	200				8	1	1	1	2	2	1				1		0	0	0	0
3602				3	9	200				8	1	1	1	2	3	1				1		0	0	0	0
3603				3	9	200				8	1	1	1	2	4	1				1		0	0	0	0
4000	Gain Sanity	Gain 30 Sanity	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon27.png	7	2	1	30			5	1	2	1							1		0	0	0	0
4001	Lose Sanity	Lose 30 Sanity	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon28.png	7	2	1	-30			5	1	2	1							1		0	0	0	0
10001										3	1		1							1	1	0	0	0	0
10002										3	1		1							1	1	0	0	0	0
10003										3	1		1							1	1	0	0	0	0
10004										3	1		1							1	1	0	0	0	0
1025201				7	8	1025201				1	1		1							1		0	0	0	0
1025203				7	8	1025203				1	1		1							1		0	0	0	0
1025205				7	8	1025205				1	1		1							1		0	0	0	0
1025207				7	8	1025207				1	1		1							1		0	0	0	0
1025209				7	8	1025209				1	1		1							1		0	0	0	0
1025211				7	8	1025211				1	1		1							1		0	0	0	0
1025213				7	8	1025213				1	1		1							1		0	0	0	0
1025215				7	8	1025215				1	1		1							1		0	0	0	0
1025217				7	8	1025217				1	1		1							1		0	0	0	0
1025219				7	8	1025219				1	1		1							1		0	0	0	0
1025221				7	8	1025221				1	1		1							1		0	0	0	0
1025223				7	8	1025223				1	1		1							1		0	0	0	0
1025225				7	8	1025225				1	1		1							1		0	0	0	0
1025227				7	8	1025227				1	1		1							1		0	0	0	0
1025301				7	8	1025301				1	1		1							1		0	0	0	0
1025303				7	8	1025303				1	1		1							1		0	0	0	0
1025305				7	8	1025305				1	1		1							1		0	0	0	0
1025307				7	8	1025307				1	1		1							1		0	0	0	0
1025309				7	8	1025309				1	1		1							1		0	0	0	0
1025311				7	8	1025311				1	1		1							1		0	0	0	0
1025313				7	8	1025313				1	1		1							1		0	0	0	0
1025315				7	8	1025315				1	1		1							1		0	0	0	0
1025401				7	8	1025401				1	1		1							1		0	0	0	0
1025403				7	8	1025403				1	1		1							1		0	0	0	0
1025405				7	8	1025405				1	1		1							1		0	0	0	0
1025407				7	8	1025407				1	1		1							1		0	0	0	0
1025409				7	8	1025409				1	1		1							1		0	0	0	0
1025411				7	8	1025411				1	1		1							1		0	0	0	0
1025413				7	8	1025413				1	1		1							1		0	0	0	0
1025501				7	8	1025501				1	1		1							1		0	0	0	0
1025503				7	8	1025503				1	1		1							1		0	0	0	0
1025505				7	8	1025505				1	1		1							1		0	0	0	0
1025507				7	8	1025507				1	1		1							1		0	0	0	0
1025509				7	8	1025509				1	1		1							1		0	0	0	0
1025511				7	8	1025511				1	1		1							1		0	0	0	0
1025513				7	8	1025513				1	1		1							1		0	0	0	0
