Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes[1]	LeftRewardTypes[2]	LeftRewardTypes[3]	LeftRewardTypes[4]	LeftRewardTypeIds[1]	LeftRewardTypeIds[2]	LeftRewardTypeIds[3]	LeftRewardTypeIds[4]	LeftRewardMinNums[1]	LeftRewardMinNums[2]	LeftRewardMinNums[3]	LeftRewardMinNums[4]	LeftRewardMaxNums[1]	LeftRewardMaxNums[2]	LeftRewardMaxNums[3]	LeftRewardMaxNums[4]	RightDesc	RightRewardTypes[1]	RightRewardTypes[2]	RightRewardTypes[3]	RightRewardTypes[4]	RightRewardTypeIds[1]	RightRewardTypeIds[2]	RightRewardTypeIds[3]	RightRewardTypeIds[4]	RightRewardMinNums[1]	RightRewardMinNums[2]	RightRewardMinNums[3]	RightRewardMinNums[4]	RightRewardMaxNums[1]	RightRewardMaxNums[2]	RightRewardMaxNums[3]	RightRewardMaxNums[4]	ChooseLine	LineNum	IsOutNormalPool	NeedBuffs[1]	Bg
40	An old music box turns, playing a low, somber melody. An eerie murmuring seems to lurk within the music, barely perceptible.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	Smash the music box	2	1	1		1	1	4		20	13	33		40	17	37		Carefully disassemble the clockwork	2	1	1		1	3	4		-13	13	33		-10	17	37						
43	The statue in the church has developed massive cracks. Within them, a scroll and some rusted coins are barely visible.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Read the scroll	2	1	1		1	2	3		-13	13	33		-10	17	37		Take the coins	2	1	1		1	1	4		-10	33	13		-5	37	17						
45	In the ticket booth of an abandoned opera house, a money box that wasn't taken remains locked tight, yet a pungent smell emanates from within.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi17.png	1	Force open the money box	2	1	1		1	3	4		-13	13	33		-10	17	37		Identify the smell	2	1	1		1	1	4		-10	33	13		-5	37	17						
47	At the black market, a grave robber peddles ancient gold coins still covered in fresh dirt.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Ask a question	2	1	1		1	1	2		-10	33	13		-5	37	17		Purchase the coins	2	1	1		1	1	4		0	33	13			37	17						
48	In the deserted psychiatric hospital, countless scattered medical records are covered in bloodstains.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi07.png	1	Pick up the bloodstained medical records	2	1	1		1	3	4		-13	33	13		-10	37	17		Turn to leave	2	1	1		1	2	4		20	33	13		40	37	17						
49	A mysterious scholar's estate is being auctioned off. You purchase his collection of ancient coins at an extremely low price.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	Count the coins	2	1	1		1	1	4		0	33	13			37	17		Study the coin patterns	2	1	1		1	2	4		-10	13	33		-5	17	37						
50	A strange glow emanates from the dried well in the abandoned manor, and you notice faint metallic glimmers among the salvaged debris.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Touch the metal	2	1	1		1	3	4		-10	13	33		-5	17	37		Stay cautious	2	1	1		1	1	3		0	33	13			37	17						
52	In the shadows of an abandoned bell tower, a group of people gather in a circle and engage in silent prayer, their heads bowed and eyes closed.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi12.png	1	Join the prayer in disguise	2	1	1		1	1	3		-13	33	13		-10	37	17		Interrupt this strange prayer	7				1000				1												
53	The morgue's metal door suddenly swings open, and a body wrapped in white cloth slowly approaches you.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi05.png	1	Raise your gun	7				1000				1								Call for a priest to pray	2	1	1		1	1	2		20	13	33		40	17	37						
54	On a silent street corner, the branches of tall roadside trees stir in the wind, casting shifting shadows across the ground that dance like phantoms.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi15.png	1	Gaze quietly at the shadows	2	1	1		1	2	3		-13	33	13		-10	37	17		Try to break off the branches	7				1000				1												
56	A grating sound suddenly rings out from behind the stage curtain in the opera house. A massive puppet slowly crawls into view.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi17.png	1	Retreat down the passage	2	1	1		1	3	4		0	33	13			37	17		Attack the puppet	7				1000				1												
57	Fine cracks spread across the vine relief on the room's wall, as if the carved vines had once grown.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi02.png	1	Observe Closely	2	1	1		1	1	4		-13	33	13		-10	37	17		Smash the relief	7				1000				1												
58	In the psychiatric hospital, a patient in a straitjacket crawls through the hallway on his back, his limbs twisted at impossible angles.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi07.png	1	Prepare to attack	7				1000				1								Dodge	2	1	1		1	1	3		-10	13	33		-5	17	37						
59	In the abandoned garden, a starving hound lets out cries that sound almost human.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Drink some hot tea to calm down	2	1	1		1	3	4		20	13	33		40	17	37		Draw your weapon and stay alert	7				1000				1												
61	A trail of bloody footprints appears on the Mist-shrouded street. Where the footprints end, only a blood-stained coat remains.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi15.png	1	Search the pockets carefully	2	1	1		1	3	4		-10	13	33		-5	17	37		Turn to leave	2	1	1		1	2	4		20	33	13		40	37	17						
62	In the room of a long-missing sailor, a photo with the face cut out is tucked inside a diary left behind.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	Read the diary	2	1	1		1	1	2		-13	33	13		-10	37	17		Examine the photo	2	1	1		1	2	3		-10	33	13		-5	37	17						
64	Strange writing in lipstick marks the dust-covered makeup mirror in the theater.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	Wipe away the writing	2	1	1		1	2	4		20	13	33		40	17	37		Copy down the writing	2	1	1		1	2	3		-13	13	33		-10	17	37						
65	Standing on the dock, you watch the lighthouse in the distance flash repeatedly, as if transmitting some kind of strange code.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi12.png	1	Decipher the code	2	1	1		1	1	2		-13	33	13		-10	37	17		Watch the lights quietly	2	1	1		1	1	4		0	13	33			17	37						
66	A tattered newspaper clipping lies in the long-abandoned psychiatric hospital, documenting a mass patient escape from years ago.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi07.png	1	Search for more clippings	2	1	1		1	1	4		0	33	13			37	17		Read the clipping carefully	2	1	1		1	2	4		-10	33	13		-5	37	17						
68	An autopsy report reveals that the deceased's stomach contained nothing but a set of keys.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi05.png	1	Take out the key	2	1	1		1	1	2		-10	13	33		-5	17	37		Note the key designations	2	1	1		1	2	4		0	13	33			17	37						
70	An admission ticket appears on your desk. The abbreviated location written on it is an underground club that seems to have never existed.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	Note the ticket information	2	1	1		1	2	3		-10	13	33		-5	17	37		Ignore it	2	1	1		1	3	4		0	33	13			37	17						
71	The antique shop owner tries to sell you an old music box, claiming it plays a siren's song.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen02.png	6	Open the music box and listen to the song	2	1	1		1	2	4		-10	33	13		-5	37	17		Refuse to listen to the music box	2	1	1		1	1	4		20	33	13		40	37	17		101	1			
72	At the stroke of midnight, the music box by your bedside starts playing on its own. Its eerie melody bores into your mind.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	6	Ignore the melody	2	1	1		1	1	4		0	13	33			17	37		Throw the music box out the window	2	1	1		1	2	4		20	33	13		40	37	17		101	2			
73	As the music swells to a crescendo, the music box shatters without warning. A grotesque chunk of flesh tumbles out from within.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	6	Examine the flesh	2	1	1		1	2	4		-13	33	13		-10	37	17		Set it on fire	2	1	1		1	1	2		20	33	13		40	37	17		101	3			
74	An oil painting of a starry night hangs on display in the gallery. Stare at it long enough, and the stars across the canvas seem to be burning slowly.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi05.png	6	Take a Closer Look	2	1	1		1	1	4		-13	33	13		-10	37	17		Question the gallery owner	2	1	1		1	1	3		0	13	33			17	37		102	1			
75	The gallery owner has dropped dead under mysterious circumstances. Clutched in his hand is a key that doesn't open a single door in the gallery.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi05.png	6	Take the key	2	1	1		1	1	4		0	33	13			37	17		Continue searching his pockets	2	1	1		1	3	4		-10	13	33		-5	17	37		102	2			
76	The lighthouse on the island stands completely dark. As you approach in a small boat, the sea breeze carries a nauseating, fishy stench.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi12.png	6	Force your way onto the island	2	1	1		1	1	2		-10	33	13		-5	37	17		Cover your nose with a handkerchief	2	1	1		1	1	3		0	13	33			17	37		103	1			
77	At the tower entrance, slimy scales lie scattered about, seemingly shed from some unknown creature.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi12.png	6	Examine the scales	2	1	1		1	1	2		-10	13	33		-5	17	37		Avoid carefully	2	1	1		1	1	3		-10	13	33		-5	17	37		103	2			
78	At the top of the tower, the keeper whose body has already mutated pays no heed to your arrival, simply keeping its head bowed in prayer.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen03.png	6	Persuade it	2	1	1		1	1	3		-10	13	33		-5	17	37		Leave it alone	2	1	1		1	2	3		0	13	33			17	37		103	3			
79	The mutated tower keeper finally seems to notice you. It turns its twisted face toward you and lurches forward, completely out of control.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen03.png	6	Draw your weapon and stay alert	7				1000				1								Try to talk to it	2	1	1		1	2	3		-13	13	33		-10	17	37		103	4			
80	Workers repairing the street claim they've unearthed a treasure, but it's just a stone slab inscribed with strange runes.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	6	Make a rubbing of the runes	2	1	1		1	1	4		-10	13	33		-5	17	37		Tell the workers to bury the stone slab	2	1	1		1	1	2		20	33	13		40	37	17		104	1			
81	While studying the rune-inscribed stone slab alone in your room, the runes suddenly begin to ooze a blood-like slime.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	6	Collect the liquid	2	1	1		1	1	4		-10	13	33		-5	17	37		Get rid of the stone slab	2	1	1		1	1	2		20	33	13		40	37	17		104	2			
82	Corrosive, blood-like slime flows across the table, inscribing patterns into the surface. They are identical to those on the stone slab.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	6	Wipe away the marks on the table	2	1	1		1	1	2		-13	13	33		-10	17	37		Examine the marks closely	2	1	1		1	2	4		-10	33	13		-5	37	17		104	3			
83	The train bound for the suburbs enters a thick fog. The temperature inside the car plummets, and layers of frost patterns begin forming across the windows.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi01.png	6	Try to decipher the frost patterns	2	1	1		1	1	2		-10	33	13		-5	37	17		Close your eyes	2	1	1		1	2	3		0	13	33			17	37		105	1			
84	The door connecting the train cars slams open. The attendant that bursts through is unrecognizable, its face twisted beyond recognition, arthropod limbs thrashing from its sleeves.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi01.png	6	Aim your weapon	7				1000				1								Try to dodge the flailing limbs	7				1000				1								105	2			
201	A gas lamp on the street flickers incessantly, like a giant monster's constantly blinking eyes.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi16.png	1	Try to interpret the flickering	2	1	1		1	3	4		-13	13	33		-10	17	37		Approach the light unconsciously	2	1	1		1	1	3		-10	13	33		-5	17	37						
203	Dark red stains linger on the wall of the morgue, as if left behind as cryptic messages when the dead came back to life.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi05.png	1	Trace the symbols in your notebook	2	1	1		1	3	4		-13	33	13		-10	37	17		Try to wipe away the stains	2	1	1		1	1	4		20	13	33		40	17	37						
204	The dolls in the shop window sit in neat, orderly rows, and all their glass bead eyes turn to stare at you.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Back away instinctively	2	1	1		1	2	3		-10	33	13		-5	37	17		Observe Closely	2	1	1		1	1	3		-13	13	33		-10	17	37						
205	In a cramped hotel room, the grating sound of fingernails scraping is coming from behind the wall connecting to the adjacent room.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	Listen carefully	2	1	1		1	1	2		-13	33	13		-10	37	17		Endure silently	2	1	1		1	1	4		-10	33	13		-5	37	17						
208	No one knows when the mail carrier stopped coming to the mailbox at the street corner, and letters continue to spill from it like snowflakes.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi16.png	1	Collect the letters	2	1	1		1	1	4		0	33	13			37	17		Open the letter	2	1	1		1	2	4		-13	13	33		-10	17	37						
209	A closed carriage drives down the street, leaving intermittent wheel tracks on the road, and faint whispers drift from within.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi15.png	1	Watch the carriage leave	2	1	1		1	2	3		0	33	13			37	17		Make out the whispers	2	1	1		1	1	2		-13	13	33		-10	17	37						
210	In the banquet hall, the liquid in the wine glass suddenly emits a metallic, bloody smell, and strange sediment can be faintly seen at the bottom.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	Touch the sediment at the bottom	2	1	1		1	1	2		-13	13	33		-10	17	37		Identify the smell of the liquid	2	1	1		1	1	4		-10	33	13		-5	37	17						
211	On the walls of the orphanage are countless eyes that were drawn by children in crude, childish strokes.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi02.png	1	Lock eyes with the "eyes"	2	1	1		1	1	2		-10	13	33		-5	17	37		Reach out and touch the "eyes"	2	1	1		1	1	3		-13	13	33		-10	17	37						
212	The shrill cries of countless rats echo faintly deep in the sewers.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Observe carefully	2	1	1		1	2	3		-13	13	33		-10	17	37		Try to drive away the gathered rats with stones	2	1	1		1	3	4		20	13	33		40	17	37						
213	A funeral procession emerges from the thick fog, but knocking sounds can be heard from inside the coffin.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi15.png	1	Watch the procession leave	2	1	1		1	1	3		0	33	13			37	17		Investigate the coffin	2	1	1		1	2	3		-13	13	33		-10	17	37						
214	You feel a strange spike in your trench coat pocket.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Throw away the spike	2	1	1		1	1	2		0	13	33			17	37		Examine the spike closely	2	1	1		1	2	4		-10	13	33		-5	17	37						
215	In the clockmaker's shop, countless clocks tick, their hands moving backward eerily.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi06.png	1	Take apart the clocks	2	1	1		1	3	4		-13	33	13		-10	37	17		Ignore deliberately	2	1	1		1	2	4		0	33	13			37	17						
217	You break open the fragrant meat pie in your hands to find pale finger bone fragments inside.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi16.png	1	Piece together the fragments	2	1	1		1	2	4		-13	13	33		-10	17	37		Discard the pie	2	1	1		1	1	4		-10	33	13		-5	37	17						
218	A gray-bearded pharmacist tries to sell you eye drops that supposedly let you see the "truth."	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen04.png	1	Shake your head and refuse	2	1	1		1	1	2		0	13	33			17	37		Accept the price of "truth"	2	1	1		1	1	4		-13	13	33		-10	17	37						
219	In an empty church, a black cat slumbers on the abandoned altar, its eyes closed.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi04.png	1	Inspect the black cat	2	1	1		1	2	3		-10	13	33		-5	17	37		Call for a priest to pray over this	2	1	1		1	1	2		20	13	33		40	17	37						
